Date,Open,High,Low,Close,Volume,Stock Splits
1991-04-02,21.87865976186899,23.121765430157,20.63555409358098,21.008485794067383,2294100,0.0
1991-04-03,21.132792773312087,21.132792773312087,16.90623421864967,18.14933967590332,1716100,0.0
1991-04-04,18.14934171570672,19.39244731267293,17.652099476920235,17.900720596313477,810600,0.0
1991-04-05,18.397962973151408,18.397962973151408,17.652099609375,17.652099609375,238200,0.0
1991-04-08,17.900719825257646,17.900719825257646,17.40347760788938,17.527788162231445,200100,0.0
1991-04-09,17.90071964263916,17.90071964263916,15.911750793457031,15.911750793457031,319000,0.0
1991-04-10,15.911750853531004,16.160371960617425,15.41450863935816,15.787440299987793,582100,0.0
1991-04-11,15.91175144001589,16.408993672516385,14.668645858764648,14.668645858764648,319400,0.0
1991-04-12,14.668645154512845,16.408992884709285,14.668645154512845,16.160371780395508,329700,0.0
1991-04-15,16.408991968908975,16.65761305934699,15.911749788032946,16.036060333251953,171400,0.0
1991-04-16,16.284681423689968,16.284681423689968,15.911749788032946,16.036060333251953,130500,0.0
1991-04-17,16.284682836688933,16.284682836688933,15.165887832641602,15.165887832641602,187600,0.0
1991-04-18,15.41450894465212,15.41450894465212,14.420024496610047,15.165887832641602,320300,0.0
1991-04-19,15.165888024979278,15.165888024979278,14.54433523707029,14.792956352233887,68900,0.0
1991-04-22,14.792956757334482,14.792956757334482,14.047093391418457,14.047093391418457,79000,0.0
1991-04-23,14.047093324493943,14.668646126462702,14.047093324493943,14.171403884887695,335000,0.0
1991-04-24,14.544335300639524,14.668645858764648,14.295714184389276,14.668645858764648,90500,0.0
1991-04-25,14.295714312586291,14.668645990305935,14.295714312586291,14.420024871826172,115400,0.0
1991-04-26,14.420024938168734,14.420024938168734,13.922782698921536,14.295714378356934,122600,0.0
1991-04-29,14.295713329315186,14.295713329315186,12.306744518280029,12.431055068969727,183700,0.0
1991-04-30,12.928299176810992,12.928299176810992,11.933814624748607,12.555367469787598,330000,0.0
1991-05-01,12.679676638709175,13.798471636242336,12.43105552814625,13.42553997039795,237800,0.0
1991-05-02,13.9227821915238,14.047092746805262,13.176918859835025,13.42553997039795,153900,0.0
1991-05-03,13.176919865831037,13.54985156014701,12.928298736287054,13.301230430603027,65300,0.0
1991-05-06,13.301230290614138,13.549851417541504,12.679677473295719,13.549851417541504,163700,0.0
1991-05-07,13.79847268969099,14.047093819234973,13.301230430603027,13.301230430603027,146100,0.0
1991-05-08,13.922781314489976,14.04709186194078,13.176918029785156,13.176918029785156,162600,0.0
1991-05-09,13.549851417541504,13.549851417541504,13.176919727150453,13.549851417541504,25700,0.0
1991-05-10,13.176918254179114,13.549849902882295,12.679676055908203,12.679676055908203,125200,0.0
1991-05-13,12.928297789200494,12.928297789200494,11.312260565550432,11.43657112121582,137900,0.0
